2026-06-22T00:31:04.016495Z  INFO Storing genesis block hash=0xd4e5…8fa3
2026-06-22T00:31:04.024825Z  INFO Auto-tune: available RAM 34 GB, headroom 9 GB, usable 25 GB, preimage estimate 116 GB -> mmap mode, flush every 1000000
2026-06-22T00:31:04.025071Z  INFO Reading preimage file: xatu-preimages/preimages.rlp (mode: mmap)
2026-06-22T00:31:04.025120Z  INFO Preimage file size: 108493 MB
2026-06-22T00:31:04.056139Z  INFO Skipped gethdbdump header (0 bytes)
2026-06-22T00:42:20.119398Z  INFO 56% | 997600000 preimage entries parsed...
2026-06-22T00:42:25.136799Z  INFO 56% | 1004800000 preimage entries parsed...
2026-06-22T00:42:30.192461Z  INFO 57% | 1012500000 preimage entries parsed...
2026-06-22T00:42:35.239447Z  INFO 57% | 1019800000 preimage entries parsed...
2026-06-22T00:42:40.242795Z  INFO 57% | 1027200000 preimage entries parsed...
2026-06-22T00:42:45.321673Z  INFO 58% | 1034800000 preimage entries parsed...
2026-06-22T00:42:50.371674Z  INFO 58% | 1042000000 preimage entries parsed...
2026-06-22T00:42:55.379749Z  INFO 59% | 1049200000 preimage entries parsed...
2026-06-22T00:43:00.414713Z  INFO 59% | 1056300000 preimage entries parsed...
2026-06-22T00:43:05.544663Z  INFO 60% | 1064000000 preimage entries parsed...
2026-06-22T00:43:10.606511Z  INFO 60% | 1071000000 preimage entries parsed...
2026-06-22T00:43:15.684315Z  INFO 60% | 1079000000 preimage entries parsed...
2026-06-22T00:43:20.689201Z  INFO 61% | 1086100000 preimage entries parsed...
2026-06-22T00:43:25.725928Z  INFO 61% | 1093100000 preimage entries parsed...
2026-06-22T00:43:30.790246Z  INFO 62% | 1100600000 preimage entries parsed...
2026-06-22T00:43:35.880899Z  INFO 62% | 1107600000 preimage entries parsed...
2026-06-22T00:43:40.920167Z  INFO 62% | 1115300000 preimage entries parsed...
2026-06-22T00:43:46.059944Z  INFO 63% | 1122800000 preimage entries parsed...
2026-06-22T00:43:51.060565Z  INFO 63% | 1130300000 preimage entries parsed...
2026-06-22T00:43:56.155119Z  INFO 64% | 1137900000 preimage entries parsed...
2026-06-22T00:44:01.184284Z  INFO 64% | 1145000000 preimage entries parsed...
2026-06-22T00:44:06.287668Z  INFO 65% | 1152300000 preimage entries parsed...
2026-06-22T00:44:11.429595Z  INFO 65% | 1159600000 preimage entries parsed...
2026-06-22T00:44:16.519046Z  INFO 65% | 1167500000 preimage entries parsed...
2026-06-22T00:44:21.585078Z  INFO 66% | 1175200000 preimage entries parsed...
2026-06-22T00:44:26.597377Z  INFO 66% | 1182800000 preimage entries parsed...
2026-06-22T00:44:31.603345Z  INFO 67% | 1190300000 preimage entries parsed...
2026-06-22T00:44:36.750286Z  INFO 67% | 1197300000 preimage entries parsed...
2026-06-22T00:44:41.849388Z  INFO 67% | 1204900000 preimage entries parsed...
2026-06-22T00:44:46.949123Z  INFO 68% | 1212000000 preimage entries parsed...
2026-06-22T00:44:52.074908Z  INFO 68% | 1219200000 preimage entries parsed...
2026-06-22T00:44:57.230304Z  INFO 69% | 1225900000 preimage entries parsed...
2026-06-22T00:45:02.235818Z  INFO 69% | 1233400000 preimage entries parsed...
2026-06-22T00:45:07.364830Z  INFO 69% | 1240700000 preimage entries parsed...
2026-06-22T00:45:12.422864Z  INFO 70% | 1248300000 preimage entries parsed...
2026-06-22T00:45:17.434956Z  INFO 70% | 1256100000 preimage entries parsed...
2026-06-22T00:45:22.482383Z  INFO 71% | 1263000000 preimage entries parsed...
2026-06-22T00:45:27.521771Z  INFO 71% | 1270200000 preimage entries parsed...
2026-06-22T00:45:32.539508Z  INFO 72% | 1277700000 preimage entries parsed...
2026-06-22T00:45:37.605429Z  INFO 72% | 1285100000 preimage entries parsed...
2026-06-22T00:45:42.628386Z  INFO 72% | 1292600000 preimage entries parsed...
2026-06-22T00:45:47.665560Z  INFO 73% | 1300000000 preimage entries parsed...
2026-06-22T00:45:52.715839Z  INFO 73% | 1307700000 preimage entries parsed...
2026-06-22T00:45:57.755148Z  INFO 74% | 1315400000 preimage entries parsed...
2026-06-22T00:46:02.775157Z  INFO 74% | 1322800000 preimage entries parsed...
2026-06-22T00:46:07.860788Z  INFO 75% | 1329900000 preimage entries parsed...
2026-06-22T00:46:12.928777Z  INFO 75% | 1337300000 preimage entries parsed...
2026-06-22T00:46:17.931960Z  INFO 75% | 1345000000 preimage entries parsed...
2026-06-22T00:46:22.947437Z  INFO 76% | 1351900000 preimage entries parsed...
2026-06-22T00:46:28.018933Z  INFO 76% | 1359600000 preimage entries parsed...
2026-06-22T00:46:33.028805Z  INFO 77% | 1367300000 preimage entries parsed...
2026-06-22T00:46:38.108293Z  INFO 77% | 1374500000 preimage entries parsed...
2026-06-22T00:46:43.135818Z  INFO 77% | 1381600000 preimage entries parsed...
2026-06-22T00:46:48.168040Z  INFO 78% | 1388600000 preimage entries parsed...
2026-06-22T00:46:53.221916Z  INFO 78% | 1395800000 preimage entries parsed...
2026-06-22T00:46:58.343518Z  INFO 79% | 1402900000 preimage entries parsed...
2026-06-22T00:47:03.402016Z  INFO 79% | 1410600000 preimage entries parsed...
2026-06-22T00:47:08.473072Z  INFO 79% | 1418000000 preimage entries parsed...
2026-06-22T00:47:13.491419Z  INFO 80% | 1425900000 preimage entries parsed...
2026-06-22T00:47:18.514637Z  INFO 80% | 1433300000 preimage entries parsed...
2026-06-22T00:47:23.598127Z  INFO 81% | 1440300000 preimage entries parsed...
2026-06-22T00:47:28.631736Z  INFO 81% | 1447600000 preimage entries parsed...
2026-06-22T00:47:33.700229Z  INFO 82% | 1453600000 preimage entries parsed...
2026-06-22T00:47:38.703700Z  INFO 82% | 1461200000 preimage entries parsed...
2026-06-22T00:47:43.706437Z  INFO 82% | 1468300000 preimage entries parsed...
2026-06-22T00:47:48.780714Z  INFO 83% | 1475800000 preimage entries parsed...
2026-06-22T00:47:53.869446Z  INFO 83% | 1483300000 preimage entries parsed...
2026-06-22T00:47:58.905050Z  INFO 84% | 1490600000 preimage entries parsed...
2026-06-22T00:48:03.991903Z  INFO 84% | 1498200000 preimage entries parsed...
2026-06-22T00:48:09.005612Z  INFO 84% | 1505500000 preimage entries parsed...
2026-06-22T00:48:14.023060Z  INFO 85% | 1512900000 preimage entries parsed...
2026-06-22T00:48:19.081497Z  INFO 85% | 1520400000 preimage entries parsed...
2026-06-22T00:48:24.248907Z  INFO 86% | 1527700000 preimage entries parsed...
